seed,leg,split,method,query_id,true_label,pred_label,hit@1,hit@5,hit@10
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,9f54a83802873360816ff547050b2957276b86c535808e9d84dbaf16b6dc82fc,Anomaly,Anomaly,1.0,1.0,1.0
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,38cf4cf3fba41c4b48ab8243603e9b80e489ecb20187bdb66b72c0f52f7d0ed0,Anomaly,Anomaly,1.0,1.0,1.0
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,2e5c7782851dcd909119f23ce6290fb2a8760bc73a6a072cbbc10b37604903e0,Anomaly,Anomaly,1.0,1.0,1.0
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,029e52f7a57e4c9dc9e1b23c0371d0af0127a41c66d24636c79572b768ad02d1,Anomaly,Anomaly,1.0,1.0,1.0
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,766cf7d53da37423768b940e2d5b9a97b3a1b591669b63c73a43a91db4915a0d,Anomaly,Anomaly,1.0,1.0,1.0
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,cc0f8345384119e7a6922d29f065c2036494bab88cc069796ab574039dec78b2,Anomaly,Anomaly,1.0,1.0,1.0
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,0cdb303b0ffef74cf26b1ebe66b51be890f036b229f7ae33698b88db0a2c22d5,Anomaly,Anomaly,1.0,1.0,1.0
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,213064990e9994593bfcef0010f7299a1524943d1431c2b665c87e328bad81ec,Anomaly,Anomaly,1.0,1.0,1.0
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,27d81b27b2d746f61f92b395e2014d659ac441949d8853a00595ad3b6fa7a7b2,Anomaly,Anomaly,1.0,1.0,1.0
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,2ef339ee6bb20a2a16bd75760482af649493db53c215648dc86d9e1a8ead8c46,Anomaly,Anomaly,1.0,1.0,1.0
201,BGL->spirit_first20M,BGL->spirit_first20M[seed201][surprisal],SMA,65ab34bd9a15e8284d7e27ace8a43cf07c4848c7fc28402a8f03bd4774a928a1,Anomaly,Anomaly,1.0,1.0,1.0
