memory,gold_id,gold_name,answerable,novel,abstained,pred_id,answer,novelty_flag,confidence,grounding_score
sma,OMIM:535000,Leber optic atrophy,True,False,False,OMIM:535000,Leber optic atrophy,False,0.8036501752070005,73.25990102241536
sma,ORPHA:1578,Pterin-4 alpha-carbinolamine dehydratase deficiency,True,False,False,ORPHA:314034,7p22.1 microduplication syndrome,False,1.0,66.30262019636922
sma,OMIM:618394,Immunodeficiency 60,True,False,False,OMIM:619164,Immunodeficiency 76,False,1.0,78.2888394007029
sma,ORPHA:100083,Laryngeal neuroendocrine tumor,True,False,True,,ABSTAIN,False,1.0,90.64033771317848
sma,OMIM:606519,PHACE association,True,False,True,,ABSTAIN,True,1.0,56.343499475491
sma,OMIM:618010,Glycosylphosphatidylinositol biosynthesis defect 17,True,False,False,OMIM:618010,Glycosylphosphatidylinositol biosynthesis defect 17,False,1.0,69.34148852885069
sma,OMIM:240900,Hypoinsulinemic hypoglycemia with hemihypertrophy,True,False,False,OMIM:609452,"Myopathy, myofibrillar, 4",False,1.0,67.34644524366536
sma,OMIM:615911,Frontotemporal dementia and/or amyotrophic lateral sclerosis 2,True,False,True,,ABSTAIN,False,0.9466697990977199,76.29653454945158
sma,ORPHA:510,Lesch-Nyhan syndrome,True,False,False,ORPHA:397933,Severe intellectual disability-progressive postnatal microcephaly-midline stereotypic hand movements syndrome,False,0.8858389291900525,65.17306614388129
sma,OMIM:236270,"Homocystinuria-megaloblastic anemia, cbl E type",True,False,True,,ABSTAIN,True,0.4891037618821274,37.8420266410242
sma,ORPHA:3266,Isolated humero-radio-ulnar synostosis,True,False,True,,ABSTAIN,False,1.0,79.7331595547291
sma,ORPHA:11,Pentasomy X syndrome,True,False,True,,ABSTAIN,False,1.0,59.87608281155244
sma,ORPHA:79292,Fish-eye disease,True,False,False,ORPHA:650,LCAT deficiency,False,1.0,68.74469982812928
sma,ORPHA:70578,Adult acute respiratory distress syndrome,True,False,False,ORPHA:70578,Adult acute respiratory distress syndrome,False,1.0,83.30072035643735
sma,OMIM:246000,"Leg, absence deformity of, with congenital cataract",True,False,False,OMIM:246000,"Leg, absence deformity of, with congenital cataract",False,1.0,80.46307701297168
sma,OMIM:614077,Hermansky-Pudlak syndrome 8,True,False,True,,ABSTAIN,True,0.7458297618437799,47.52613908523479
sma,ORPHA:100082,Neuroendocrine tumor of anal canal,True,False,False,ORPHA:100083,Laryngeal neuroendocrine tumor,False,0.7614551584574696,61.806119664876896
sma,OMIM:620461,"Encephalopathy, acute, infection-induced, susceptibility to, 12",True,False,False,OMIM:619599,"Epidermolysis bullosa simplex 2D, generalized, intermediate or severe, autosomal recessive",False,1.0,72.81684840896453
sma,OMIM:620012,"Developmental delay, hypotonia, and impaired language",True,False,True,,ABSTAIN,True,0.47614003423955586,32.946779323091135
sma,ORPHA:1875,Congenital muscular dystrophy-infantile cataract-hypogonadism syndrome,True,False,False,ORPHA:2253,Foveal hypoplasia-presenile cataract syndrome,False,1.0,67.60464010160959
sma,OMIM:233600,Immunodeficiency 59 and hypoglycemia,True,False,True,,ABSTAIN,False,1.0,88.68019715101006
sma,OMIM:618302,"Intellectual developmental disorder, autosomal recessive 68",True,False,True,,ABSTAIN,False,1.0,89.36318303464897
sma,OMIM:308700,Hypogonadotropic hypogonadism 1 with or without anosmia,True,False,False,OMIM:308700,Hypogonadotropic hypogonadism 1 with or without anosmia,False,1.0,79.49309296223966
sma,ORPHA:2774,Multicentric carpo-tarsal osteolysis with or without nephropathy,True,False,True,,ABSTAIN,True,0.4527620079713031,34.34937393389507
sma,OMIM:277100,VALINEMIA,True,False,False,OMIM:277100,VALINEMIA,False,1.0,73.65543859684068
sma,ORPHA:309288,"Alpha-mannosidosis, adult form",True,False,True,,ABSTAIN,True,0.573711040863215,44.18597689223554
sma,OMIM:231550,Achalasia-Addisonianism-Alacrima syndrome,True,False,True,,ABSTAIN,True,0.7671104825908581,42.96622125274939
sma,OMIM:620197,"Ciliary dyskinesia, primary, 49, without situs inversus",True,False,False,OMIM:620197,"Ciliary dyskinesia, primary, 49, without situs inversus",False,1.0,79.187916447342
sma,OMIM:601650,Paragangliomas 2,True,False,False,OMIM:601650,Paragangliomas 2,False,1.0,92.56219748420874
sma,OMIM:192500,Long QT syndrome 1,True,False,False,OMIM:192500,Long QT syndrome 1,False,0.9977370216588861,82.19121875696034
sma,ORPHA:401768,Proximal myopathy with extrapyramidal signs,True,False,False,ORPHA:401768,Proximal myopathy with extrapyramidal signs,False,1.0,96.38661929887658
sma,ORPHA:2004,Laryngotracheoesophageal cleft,True,False,False,ORPHA:2004,Laryngotracheoesophageal cleft,False,1.0,88.72953357442128
sma,OMIM:616540,"Epilepsy, progressive myoclonic, 9",True,False,True,,ABSTAIN,True,0.60492709144585,45.21918918688348
sma,OMIM:616740,Immunodeficiency 46,True,False,False,ORPHA:1006,Alopecia antibody deficiency,False,1.0,72.96916008085235
sma,OMIM:614935,"Ciliary dyskinesia, primary, 19",True,False,False,OMIM:614935,"Ciliary dyskinesia, primary, 19",False,0.9600696933982694,79.74724016855602
sma,OMIM:612933,Glycogen storage disease XI,True,False,False,OMIM:612933,Glycogen storage disease XI,False,1.0,81.14533367379354
sma,OMIM:619955,Dworschak-Punetha neurodevelopmental syndrome,True,False,True,,ABSTAIN,True,0.5116612437614988,33.22752608981973
sma,ORPHA:2073,Narcolepsy type 1,True,False,True,,ABSTAIN,True,0.6216592099343324,45.52290947058366
sma,OMIM:226650,"Epidermolysis bullosa, junctional, Non-Herlitz type",True,False,False,OMIM:226650,"Epidermolysis bullosa, junctional, Non-Herlitz type",False,1.0,81.48085339146786
sma,OMIM:615960,Poretti-Boltshauser syndrome,True,False,False,OMIM:245348,Pyruvate dehydrogenase E2 deficiency,False,1.0,67.57294598002478
sma,OMIM:254300,"Myasthenia, limb-girdle, familial",True,False,True,,ABSTAIN,True,1.0,54.75610075080358
sma,ORPHA:75373,Progressive bifocal chorioretinal atrophy,True,False,True,,ABSTAIN,True,1.0,55.86733213247571
sma,OMIM:240200,"Hypoadrenocorticism, familial",True,False,False,OMIM:240200,"Hypoadrenocorticism, familial",False,1.0,76.53339482527277
